Wizard's Simple Blackjack Strategy — Incorrect Plays
PLAYER	DEALER	PROBABILITY	WIZARD_STRATEGY	BASIC_STRATEGY	WIZARD_EXPECTED_VALUE	BASIC_EXPECTED_VALUE	COST
Hard/12	2	0.006281	S	H	-0.293394	-0.252960	0.000254
Soft/18	7	0.000881	H	S	0.171872	0.401861	0.000203
Hard/12	3	0.006396	S	H	-0.252112	-0.232448	0.000126
7,7	7	0.000404	H	P	-0.331784	-0.048567	0.000114
Hard/15	10	0.020205	H	R	-0.503453	-0.500000	0.000070
Soft/18	8	0.000919	H	S	0.041028	0.108057	0.000062
Soft/15	6	0.000919	H	D	0.118402	0.182917	0.000059
9,9	8	0.000440	S	P	0.099261	0.229929	0.000058
Hard/16	A	0.00318	        H	R	-0.51537	-0.500000	0.000049
Soft/16	2	0.000919	D	H	-0.073426	-0.022828	0.000047
3,3	7	0.000440	H	P	-0.153797	-0.051101	0.000045
2,2	7	0.000440	H	P	-0.088828	0.008597	0.000043
Soft/14	6	0.000919	H	D	0.140226	0.186374	0.000042
9,9	9	0.000404	S	P	-0.185235	-0.081564	0.000042
Soft/15	5	0.000919	H	D	0.094352	0.133708	0.000036
Soft/13	6	0.000919	H	D	0.162671	0.187925	0.000023
Hard/16	9	0.004557	H	R	-0.504633	-0.500000	0.000021
Soft/14	5	0.000919	H	D	0.115726	0.138428	0.000021
Hard/9	2	0.002719	D	H	0.070004	0.077180	0.00002
4,4	6	0.000440	H	P	0.124399	0.168189	0.000019
Soft/16	3	0.000919	D	H	-0.009099	0.007133	0.000015
4,4	5	0.000440	H	P	0.083624	0.111900	0.000012
Soft/17	2	0.000919	D	H	-0.003955	0.000693	0.000004
Soft/18	2	0.000919	D	S	0.12098	        0.124001	0.000003
Soft/15	4	0.000881	H	D	0.059395	0.062389	0.000003
Soft/13	5	0.000919	H	D	0.137333	0.139852	0.000002
Total		0.05822					                        0.001392
