DEALER	PLAYER	 STAND	            HIT	         DOUBLE	         SPLIT_DAS-NO	SPLIT-DAS-YES	PROBABILITY
A	A,A	-0.666458	-0.022206	-0.620238	0.127144	0.127144	0.00027830
A	2,2	-0.665989	-0.254310	-1.331978	-0.435464	-0.435464	0.00030360
A	3,3	-0.665541	-0.309143	-1.303229	-0.483312	-0.483312	0.00030360
A	4,4	-0.664958	-0.198744	-0.807840	-0.563615	-0.563615	0.00030360
A	5,5	-0.664378	0.082875	-0.002421	-0.677139	-0.677139	0.00030360
A	6,6	-0.659438	-0.356496	-0.831043	-0.655291	-0.655291	0.00030360
A	7,7	-0.661343	-0.448700	-0.947415	-0.645587	-0.645587	0.00030360
A	8,8	-0.663258	-0.513551	-1.027102	-0.364371	-0.364371	0.00030360
A	9,9	-0.093071	-0.626095	-1.252191	-0.125683	-0.125683	0.00030360
A	10,10	0.654582	-0.857109	-1.714218	-0.316251	-0.316251	0.00506302
2	A,A	-0.289870	0.083842	-0.063039	0.485870	0.485870	0.00044043
2	2,2	-0.292530	-0.114739	-0.585060	-0.153361	-0.077684	0.00040372
2	3,3	-0.292445	-0.142183	-0.563298	-0.209728	-0.133356	0.00044043
2	4,4	-0.291830	-0.019850	-0.200240	-0.263576	-0.186888	0.00044043
2	5,5	-0.287112	0.189215	0.373180	-0.322951	-0.278099	0.00044043
2	6,6	-0.288075	-0.253323	-0.506645	-0.274276	-0.196702	0.00044043
2	7,7	-0.289069	-0.369250	-0.738501	-0.196447	-0.119508	0.00044043
2	8,8	-0.290038	-0.468469	-0.936938	0.007170	0.082116	0.00044043
2	9,9	0.124232	-0.623270	-1.246540	0.157256	0.198253	0.00044043
2	10,10	0.637885	-0.853873	-1.707745	0.099613	0.099613	0.00727662
3	A,A	-0.248796	0.106038	0.002989	0.533182	0.533182	0.00044043
3	2,2	-0.251293	-0.082064	-0.502587	-0.096476	-0.005954	0.00044043
3	3,3	-0.250687	-0.108263	-0.480703	-0.139334	-0.049267	0.00040372
3	4,4	-0.246007	0.011580	-0.126731	-0.185541	-0.093463	0.00044043
3	5,5	-0.245116	0.213958	0.425665	-0.247489	-0.192429	0.00044043
3	6,6	-0.246070	-0.231966	-0.463931	-0.196866	-0.098544	0.00044043
3	7,7	-0.247072	-0.355164	-0.710327	-0.124884	-0.027915	0.00044043
3	8,8	-0.248413	-0.461664	-0.923328	0.070609	0.154853	0.00044043
3	9,9	0.144792	-0.622799	-1.245598	0.206285	0.252589	0.00044043
3	10,10	0.647984	-0.853605	-1.707210	0.182953	0.182953	0.00727662
4	A,A	-0.205803	0.129004	0.071156	0.582709	0.582709	0.00044043
4	2,2	-0.207678	-0.046774	-0.415355	-0.036159	0.069722	0.00044043
4	3,3	-0.203005	-0.068783	-0.386312	-0.057537	0.049837	0.00044043
4	4,4	-0.202102	0.048027	-0.049346	-0.105325	0.003626	0.00040372
4	5,5	-0.201329	0.240560	0.481119	-0.165747	-0.096008	0.00044043
4	6,6	-0.202253	-0.210060	-0.420120	-0.114932	0.005071	0.00044043
4	7,7	-0.203668	-0.340486	-0.680972	-0.047634	0.072562	0.00044043
4	8,8	-0.211502	-0.456910	-0.913820	0.129760	0.223524	0.00044043
4	9,9	0.174080	-0.614207	-1.228414	0.269646	0.320662	0.00044043
4	10,10	0.658450	-0.853371	-1.706741	0.269971	0.269971	0.00727662
5	A,A	-0.160846	0.160724	0.140787	0.633923	0.633923	0.00044043
5	2,2	-0.157959	-0.004963	-0.315919	0.051252	0.174515	0.00044043
5	3,3	-0.157112	-0.028184	-0.295400	0.026425	0.154494	0.00044043
5	4,4	-0.156310	0.083624	0.027678	-0.020168	0.111900	0.00044043
5	5,5	-0.155585	0.270245	0.540491	-0.075471	0.012315	0.00040372
5	6,6	-0.156998	-0.188561	-0.377121	-0.029732	0.112973	0.00044043
5	7,7	-0.164886	-0.329183	-0.658367	0.020214	0.160460	0.00044043
5	8,8	-0.166521	-0.449933	-0.899865	0.200345	0.303949	0.00044043
5	9,9	0.200047	-0.611359	-1.222718	0.338242	0.394070	0.00044043
5	10,10	0.670892	-0.853070	-1.706139	0.365917	0.365917	0.00727662
6	A,A	-0.145699	0.187973	0.190709	0.682366	0.682366	0.00044043
6	2,2	-0.148979	0.014623	-0.297957	0.097718	0.240682	0.00044043
6	3,3	-0.148235	-0.008642	-0.271320	0.070576	0.216911	0.00044043
6	4,4	-0.147552	0.124399	0.103556	0.017973	0.168189	0.00044043
6	5,5	-0.146921	0.299427	0.598853	-0.038793	0.062410	0.00044043
6	6,6	-0.154706	-0.173833	-0.347667	-0.001979	0.158580	0.00040372
6	7,7	-0.156222	-0.311022	-0.622045	0.093478	0.249022	0.00044043
6	8,8	-0.157495	-0.425486	-0.850971	0.292983	0.405899	0.00044043
6	9,9	0.280805	-0.604091	-1.208183	0.404149	0.464217	0.00044043
6	10,10	0.702826	-0.852263	-1.704526	0.444942	0.444942	0.00727662
7	A,A	-0.471742	0.164333	-0.176403	0.475600	0.475600	0.00044043
7	2,2	-0.474621	-0.088828	-0.949243	-0.048572	0.008597	0.00044043
7	3,3	-0.473963	-0.153797	-0.890244	-0.108445	-0.051101	0.00044043
7	4,4	-0.473283	0.086616	-0.175100	-0.227233	-0.168774	0.00044043
7	5,5	-0.476217	0.260394	0.404746	-0.330901	-0.297599	0.00044043
7	6,6	-0.477738	-0.220562	-0.520123	-0.311678	-0.252905	0.00044043
7	7,7	-0.479132	-0.331784	-0.691921	-0.104889	-0.048567	0.00040372
7	8,8	-0.480181	-0.408423	-0.816845	0.264110	0.318876	0.00044043
7	9,9	0.399576	-0.587176	-1.174353	0.334523	0.364180	0.00044043
7	10,10	0.772011	-0.850445	-1.700890	0.262033	0.262033	0.00727662
8	A,A	-0.508761	0.094585	-0.311501	0.359708	0.359708	0.00044043
8	2,2	-0.511247	-0.156790	-1.022494	-0.215128	-0.176794	0.00044043
8	3,3	-0.510567	-0.219182	-1.001140	-0.269599	-0.230664	0.00044043
8	4,4	-0.513430	-0.059090	-0.451036	-0.365344	-0.325801	0.00044043
8	5,5	-0.513325	0.199537	0.293033	-0.482787	-0.459393	0.00044043
8	6,6	-0.514636	-0.279301	-0.630537	-0.456194	-0.416429	0.00044043
8	7,7	-0.515767	-0.377709	-0.780906	-0.429288	-0.390952	0.00044043
8	8,8	-0.517509	-0.453401	-0.906802	-0.065211	-0.029242	0.00040372
8	9,9	0.099261	-0.587148	-1.174296	0.208880	0.229929	0.00044043
8	10,10	0.790420	-0.850101	-1.700201	0.012522	0.012522	0.00727662
9	A,A	-0.538085	-0.000333	-0.450881	0.237754	0.237754	0.00044043
9	2,2	-0.540137	-0.237873	-1.080275	-0.403662	-0.384407	0.00044043
9	3,3	-0.543009	-0.295264	-1.067368	-0.450388	-0.431618	0.00044043
9	4,4	-0.542865	-0.209848	-0.715694	-0.527732	-0.508478	0.00044043
9	5,5	-0.542661	0.116653	0.149188	-0.652354	-0.638481	0.00044043
9	6,6	-0.543905	-0.347155	-0.749935	-0.621483	-0.602063	0.00044043
9	7,7	-0.545528	-0.437912	-0.894019	-0.591483	-0.573526	0.00044043
9	8,8	-0.538890	-0.505707	-1.011415	-0.408743	-0.389950	0.00044043
9	9,9	-0.185235	-0.613052	-1.226103	-0.093583	-0.081564	0.00040372
9	10,10	0.756075	-0.849438	-1.698876	-0.272562	-0.272562	0.00727662
10	A,A	-0.538797	-0.066310	-0.506650	0.181988	0.181988	0.00163628
10	2,2	-0.541589	-0.287099	-1.083178	-0.511458	-0.500907	0.00162488
10	3,3	-0.541402	-0.338693	-1.063997	-0.557327	-0.546375	0.00162488
10	4,4	-0.541266	-0.247994	-0.745112	-0.630523	-0.619294	0.00162488
10	5,5	-0.541033	0.027154	-0.004071	-0.740968	-0.729749	0.00162488
10	6,6	-0.542783	-0.381953	-0.798288	-0.718928	-0.707854	0.00162488
10	7,7	-0.535586	-0.474064	-0.953611	-0.663501	-0.652075	0.00162488
10	8,8	-0.536853	-0.535361	-1.070722	-0.486276	-0.475385	0.00162488
10	9,9	-0.171080	-0.643985	-1.287970	-0.320012	-0.309996	0.00162488
10	10,10	0.559145	-0.847142	-1.694283	-0.419582	-0.419582	0.02628648
