,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 0, 3)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 1, 3)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(0, 2, 3)","(0, 3, 0)","(0, 3, 1)","(0, 3, 2)","(0, 3, 3)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 0, 3)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 1, 3)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(1, 2, 3)","(1, 3, 0)","(1, 3, 1)","(1, 3, 2)","(1, 3, 3)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 0, 3)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 1, 3)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)","(2, 2, 3)","(2, 3, 0)","(2, 3, 1)","(2, 3, 2)","(2, 3, 3)","(3, 0, 0)","(3, 0, 1)","(3, 0, 2)","(3, 0, 3)","(3, 1, 0)","(3, 1, 1)","(3, 1, 2)","(3, 1, 3)","(3, 2, 0)","(3, 2, 1)","(3, 2, 2)","(3, 2, 3)","(3, 3, 0)","(3, 3, 1)","(3, 3, 2)","(3, 3, 3)"
2,0.05455,0.08085,0.0772,0.09145,0.0897,0.0859,0.09615,0.08785,0.0746,0.0916,0.11255,0.1162,0.1044,0.11075,0.1139,0.1269,0.09855,0.1116,0.0947,0.0966,0.10115,0.106,0.11535,0.11245,0.1089,0.11665,0.11445,0.15625,0.1366,0.13335,0.1483,0.15035,0.09555,0.12515,0.1099,0.13125,0.12115,0.12375,0.1197,0.1316,0.117,0.1326,0.1313,0.1588,0.1488,0.1441,0.1792,0.1533,0.11755,0.1036,0.1235,0.14295,0.14905,0.1271,0.1436,0.1671,0.1407,0.1525,0.1567,0.14975,0.1603,0.1703,0.1818,0.18175
3,0.0982,0.0998,0.07545,0.0587,0.11595,0.1174,0.09015,0.08925,0.1301,0.11205,0.11465,0.0794,0.14625,0.1177,0.1082,0.10015,0.10455,0.13345,0.09075,0.08005,0.14835,0.12,0.1196,0.09575,0.14565,0.13235,0.1149,0.1171,0.15295,0.162,0.13715,0.1155,0.1407,0.1338,0.13175,0.0923,0.15775,0.13755,0.132,0.11325,0.1769,0.1361,0.1321,0.137,0.1736,0.1782,0.1514,0.1229,0.18645,0.14845,0.1391,0.11395,0.1962,0.14375,0.1646,0.12825,0.21535,0.187,0.1622,0.14335,0.21155,0.1974,0.18995,0.16125
4,0.1514,0.1124,0.1229,0.10405,0.1346,0.11425,0.0974,0.09505,0.1351,0.1247,0.0985,0.07995,0.1252,0.1198,0.083,0.0918,0.141,0.1557,0.1374,0.14935,0.1635,0.1345,0.1289,0.1238,0.15505,0.14905,0.13765,0.09775,0.15215,0.14185,0.11565,0.1067,0.2084,0.16675,0.17005,0.1482,0.1736,0.1814,0.1468,0.1428,0.17405,0.1549,0.14275,0.1375,0.1898,0.17,0.1326,0.12455,0.20085,0.1947,0.19085,0.18355,0.2058,0.19595,0.1843,0.1766,0.2056,0.18115,0.1919,0.17585,0.18405,0.1927,0.1509,0.1561
5,0.17815,0.1748,0.165,0.1675,0.18205,0.18925,0.15105,0.1385,0.1576,0.14885,0.1619,0.14485,0.16355,0.1626,0.1446,0.1376,0.1888,0.1864,0.15935,0.1412,0.16335,0.17695,0.152,0.14565,0.16855,0.1574,0.13625,0.1374,0.16345,0.1506,0.14585,0.1456,0.19105,0.18225,0.1602,0.13825,0.17025,0.1819,0.15005,0.13995,0.16805,0.15555,0.15535,0.13125,0.17405,0.17115,0.13675,0.1186,0.1845,0.1823,0.15705,0.1414,0.1746,0.1599,0.15615,0.1478,0.16535,0.16345,0.14855,0.1285,0.16005,0.14905,0.15375,0.116
6,0.18745,0.17685,0.1586,0.1614,0.1968,0.176,0.152,0.16005,0.1692,0.15675,0.17145,0.136,0.1727,0.18155,0.14335,0.1429,0.18985,0.18195,0.1725,0.16425,0.1834,0.17505,0.1522,0.1391,0.18325,0.15325,0.15725,0.15695,0.17305,0.1791,0.16305,0.15345,0.17115,0.189,0.18295,0.1619,0.19775,0.19155,0.15235,0.16015,0.18125,0.17915,0.1502,0.15445,0.1751,0.166,0.15975,0.1438,0.1913,0.1864,0.165,0.14415,0.18165,0.1771,0.16985,0.1748,0.17585,0.15685,0.1463,0.1353,0.157,0.1657,0.15085,0.13865
7,0.132,0.0996,0.13575,0.1264,0.13375,0.1314,0.1336,0.13225,0.1287,0.1199,0.1281,0.1356,0.13445,0.122,0.122,0.1403,0.1244,0.1396,0.12035,0.12835,0.1319,0.12665,0.1339,0.1398,0.12805,0.1318,0.12415,0.1395,0.14135,0.1408,0.10295,0.1349,0.12655,0.13095,0.13685,0.12075,0.15145,0.14715,0.1471,0.14465,0.1339,0.11245,0.1467,0.1354,0.1319,0.1569,0.1473,0.14215,0.12735,0.13955,0.13455,0.13065,0.14165,0.1352,0.1239,0.1358,0.12705,0.1366,0.1337,0.14365,0.1225,0.13905,0.1522,0.15265
8,0.0492,0.03775,0.0119,0.0521,0.03435,0.0396,0.03205,0.04455,0.03095,0.02105,0.0189,0.0292,0.0511,0.02575,0.0479,0.0301,0.0488,0.04435,0.0353,0.0257,0.04645,0.0566,0.04755,0.0453,0.06265,0.0419,0.0233,0.04755,0.0486,0.04085,0.03195,0.0408,0.05645,0.04955,0.0511,0.0443,0.06615,0.0678,0.03735,0.0448,0.0734,0.05835,0.0426,0.0437,0.0725,0.06775,0.0609,0.0659,0.07205,0.0552,0.0461,0.0394,0.0462,0.06285,0.04945,0.0521,0.07305,0.0734,0.06055,0.061,0.07175,0.06365,0.06935,0.0582
9,-0.03665,-0.04985,-0.055,-0.0226,-0.04,-0.045,-0.07425,-0.04165,-0.05205,-0.0602,-0.05905,-0.03395,-0.0622,-0.0634,-0.0425,-0.0631,-0.06985,-0.05485,-0.0643,-0.03745,-0.0404,-0.052,-0.0376,-0.03225,-0.0374,-0.0293,-0.0379,-0.04235,-0.0371,-0.0473,-0.05165,-0.0568,-0.0505,-0.0471,-0.05945,-0.04615,-0.0654,-0.043,-0.0235,-0.05575,-0.04425,-0.04015,-0.05815,-0.0458,-0.0339,-0.046,-0.02995,-0.03305,-0.0382,-0.04065,-0.0549,-0.0349,-0.04525,-0.0383,-0.0271,-0.04445,-0.0443,-0.03855,-0.03695,-0.04135,-0.03055,-0.03875,-0.04925,-0.03515
10,-0.16735,-0.1715,-0.15515,-0.17395,-0.1872,-0.1709,-0.1608,-0.15445,-0.182,-0.1711,-0.1701,-0.16935,-0.1792,-0.15835,-0.1599,-0.1486,-0.1973,-0.193,-0.1787,-0.16185,-0.16885,-0.15235,-0.16375,-0.16635,-0.18,-0.1819,-0.1758,-0.16415,-0.17515,-0.15355,-0.1598,-0.17535,-0.17265,-0.185,-0.1669,-0.1665,-0.19345,-0.177,-0.18505,-0.18035,-0.1721,-0.1606,-0.1609,-0.16125,-0.18615,-0.16615,-0.15935,-0.1676,-0.17375,-0.18085,-0.17375,-0.1742,-0.205,-0.1676,-0.18095,-0.17875,-0.1892,-0.1671,-0.17515,-0.17015,-0.1843,-0.1795,-0.17165,-0.17625
A,-0.3686,-0.34725,-0.3656,-0.3407,-0.354,-0.36355,-0.3463,-0.34305,-0.3614,-0.3537,-0.33805,-0.3427,-0.3411,-0.3432,-0.35325,-0.339,-0.3666,-0.3545,-0.34795,-0.34215,-0.36045,-0.36855,-0.34365,-0.3472,-0.3529,-0.35095,-0.3417,-0.3357,-0.3519,-0.3519,-0.33675,-0.33175,-0.34755,-0.32995,-0.3545,-0.3456,-0.3735,-0.3566,-0.35085,-0.3319,-0.3603,-0.3531,-0.333,-0.3342,-0.34945,-0.3534,-0.35825,-0.34445,-0.3662,-0.3588,-0.34595,-0.3255,-0.35045,-0.37315,-0.36535,-0.3469,-0.3682,-0.35195,-0.3489,-0.34845,-0.3474,-0.35405,-0.35065,-0.3364
