Dealer's Card,"(eights, nines, tens)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(1, 1, 11)","(1, 1, 12)","(1, 1, 13)","(1, 1, 14)","(1, 1, 15)","(1, 1, 16)","(1, 2, 11)","(1, 2, 12)","(1, 2, 13)","(1, 2, 14)","(1, 2, 15)","(1, 2, 16)","(1, 3, 11)","(1, 3, 12)","(1, 3, 13)","(1, 3, 14)","(1, 3, 15)","(1, 3, 16)","(1, 4, 11)","(1, 4, 12)","(1, 4, 13)","(1, 4, 14)","(1, 4, 15)","(1, 4, 16)","(2, 1, 11)","(2, 1, 12)","(2, 1, 13)","(2, 1, 14)","(2, 1, 15)","(2, 1, 16)","(2, 2, 11)","(2, 2, 12)","(2, 2, 13)","(2, 2, 14)","(2, 2, 15)","(2, 2, 16)","(2, 3, 11)","(2, 3, 12)","(2, 3, 13)","(2, 3, 14)","(2, 3, 15)","(2, 3, 16)","(2, 4, 11)","(2, 4, 12)","(2, 4, 13)","(2, 4, 14)","(2, 4, 15)","(2, 4, 16)","(3, 1, 11)","(3, 1, 12)","(3, 1, 13)","(3, 1, 14)","(3, 1, 15)","(3, 1, 16)","(3, 2, 11)","(3, 2, 12)","(3, 2, 13)","(3, 2, 14)","(3, 2, 15)","(3, 2, 16)","(3, 3, 11)","(3, 3, 12)","(3, 3, 13)","(3, 3, 14)","(3, 3, 15)","(3, 3, 16)","(3, 4, 11)","(3, 4, 12)","(3, 4, 13)","(3, 4, 14)","(3, 4, 15)","(3, 4, 16)","(4, 1, 11)","(4, 1, 12)","(4, 1, 13)","(4, 1, 14)","(4, 1, 15)","(4, 1, 16)","(4, 2, 11)","(4, 2, 12)","(4, 2, 13)","(4, 2, 14)","(4, 2, 15)","(4, 2, 16)","(4, 3, 11)","(4, 3, 12)","(4, 3, 13)","(4, 3, 14)","(4, 3, 15)","(4, 3, 16)","(4, 4, 11)","(4, 4, 12)","(4, 4, 13)","(4, 4, 14)","(4, 4, 15)","(4, 4, 16)"
2,-0.01825,0.02305,0.0368,0.0692,0.08845,0.1366,0.0068,0.0135,0.0482,0.0683,0.0971,0.1172,-0.0291,0.03745,0.04375,0.07535,0.08675,0.09505,-0.01825,0.02605,0.0438,0.05065,0.0759,0.10895,0.0032,0.0003,0.0447,0.0577,0.08275,0.1073,-0.00285,0.0193,0.02725,0.04005,0.09775,0.10945,-0.02625,0.01625,0.05745,0.05515,0.09105,0.0879,-0.0163,0.0312,0.0299,0.0494,0.07635,0.09225,-0.0216,-0.011,0.03545,0.0492,0.0673,0.096,-0.0256,0.0028,0.03035,0.0456,0.06175,0.0827,-0.00645,-0.00795,0.0292,0.0411,0.05765,0.07475,-0.0309,0.01335,0.02295,0.037,0.05185,0.0748,-0.0268,-0.0033,0.01955,0.0362,0.08165,0.0801,-0.0192,-0.0256,0.01895,0.04115,0.0607,0.06895,-0.0292,0.00335,0.01465,0.0448,0.0495,0.0774,-0.04165,0.01055,0.0112,0.03765,0.0537,0.07235
3,-0.0433,0.009,0.0151,0.0547,0.07075,0.0854,-0.0149,0.0038,0.03965,0.0544,0.09595,0.10525,0.0039,0.03295,0.0671,0.0758,0.1155,0.14575,0.0254,0.04805,0.08345,0.1075,0.136,0.1457,-0.04135,-0.00275,0.01095,0.05525,0.05655,0.0699,-0.01595,0.01435,0.02375,0.0605,0.06545,0.10475,-0.02205,0.02035,0.0731,0.0653,0.09915,0.10835,0.0063,0.02175,0.07245,0.08825,0.09965,0.11905,-0.0453,-0.007,0.00355,0.0146,0.0505,0.0811,-0.0031,-0.01845,0.0347,0.0472,0.0751,0.06855,0.00285,0.0227,0.02645,0.07085,0.073,0.097,0.02435,0.039,0.0458,0.06895,0.0908,0.1086,-0.05705,-0.0393,-0.00735,0.01075,0.03605,0.05585,-0.03935,-0.02335,0.012,0.0395,0.0571,0.06395,-0.0278,0.0134,0.0103,0.03735,0.0694,0.07835,-0.0197,0.0069,0.04485,0.05635,0.08325,0.0957
4,-0.025,-0.0096,0.0088,0.0146,0.0339,0.0712,-0.047,0.0138,0.0265,0.03905,0.05715,0.0995,-0.00395,0.00945,0.03895,0.0663,0.0855,0.0979,-0.00085,0.0221,0.05725,0.0677,0.08865,0.12565,-0.0299,-0.02605,-0.00095,0.03285,0.05345,0.0703,-0.0185,-0.0072,0.0382,0.05895,0.05745,0.0789,-0.01455,0.0133,0.03315,0.05915,0.09805,0.0957,-0.01035,0.0371,0.0762,0.0675,0.10335,0.1102,-0.00605,-0.005,0.01585,0.02305,0.0809,0.0983,-0.0126,-0.00235,0.03395,0.0501,0.0755,0.11225,-0.0065,0.0167,0.04355,0.05845,0.09805,0.10525,0.00015,0.0293,0.0466,0.0808,0.10405,0.11425,-0.02445,0.0178,0.02235,0.0556,0.0886,0.0957,-0.0092,0.0301,0.0533,0.06045,0.07885,0.11265,0.0071,0.01935,0.05475,0.08165,0.0872,0.10325,0.01635,0.04125,0.06725,0.095,0.11385,0.11815
5,0.0091,0.00605,0.04635,0.0635,0.0887,0.13545,0.00055,0.0312,0.05405,0.07585,0.0971,0.12775,0.03645,0.0542,0.07175,0.09975,0.10055,0.1407,0.0358,0.06425,0.07995,0.10995,0.0973,0.15645,0.02075,0.03325,0.04495,0.087,0.1048,0.1116,0.0204,0.04675,0.06915,0.08855,0.0992,0.13245,0.0412,0.0272,0.0677,0.095,0.12455,0.15435,0.0596,0.0521,0.0837,0.1141,0.1201,0.1605,0.0118,0.03025,0.0628,0.09645,0.1028,0.1245,0.0197,0.05835,0.0684,0.08775,0.10565,0.13815,0.03735,0.0733,0.08665,0.1117,0.1302,0.128,0.0355,0.0672,0.0935,0.11225,0.1474,0.15135,0.01485,0.03425,0.05205,0.0829,0.0935,0.1339,0.0275,0.046,0.08795,0.0917,0.1058,0.14585,0.04175,0.06475,0.0889,0.1114,0.1274,0.15495,0.0485,0.06975,0.0834,0.1043,0.13525,0.15765
6,0.0211,0.0597,0.0779,0.11535,0.1155,0.17335,0.04875,0.0694,0.08375,0.11955,0.12975,0.1652,0.0586,0.06765,0.0838,0.13445,0.14405,0.1586,0.0647,0.0879,0.106,0.1301,0.147,0.1682,0.03805,0.03965,0.07455,0.117,0.14135,0.1425,0.0504,0.05415,0.0939,0.12465,0.13585,0.15945,0.06375,0.0821,0.11205,0.1329,0.14795,0.17195,0.05685,0.10005,0.12425,0.11825,0.15165,0.18885,0.02675,0.05855,0.09545,0.11155,0.1313,0.1371,0.05615,0.0726,0.0933,0.1291,0.1488,0.1602,0.04365,0.0813,0.1158,0.12745,0.1516,0.15385,0.074,0.1051,0.12095,0.1413,0.1585,0.19025,0.0311,0.0687,0.08295,0.117,0.1451,0.1498,0.03725,0.07355,0.0952,0.1277,0.12535,0.17405,0.06905,0.0815,0.1131,0.1483,0.14545,0.17605,0.076,0.09255,0.1132,0.13765,0.159,0.18405
7,0.1133,0.12545,0.1405,0.11675,0.11665,0.11865,0.1107,0.1089,0.11205,0.1044,0.106,0.1118,0.0958,0.0942,0.10395,0.1067,0.12455,0.1225,0.0903,0.10785,0.0991,0.119,0.12695,0.11285,0.10205,0.1051,0.1122,0.12155,0.1284,0.14735,0.10425,0.1107,0.1189,0.1134,0.1294,0.1255,0.106,0.1088,0.1226,0.11565,0.1248,0.1371,0.1173,0.10085,0.10845,0.1253,0.12925,0.13045,0.10035,0.1172,0.1181,0.13085,0.132,0.11775,0.1037,0.1326,0.1097,0.1171,0.10605,0.11995,0.1068,0.09885,0.0931,0.12335,0.1279,0.1376,0.088,0.0998,0.0967,0.1178,0.13095,0.13315,0.09625,0.12295,0.12125,0.10715,0.1186,0.125,0.11105,0.10895,0.11865,0.1097,0.1049,0.12215,0.11135,0.11685,0.1007,0.0969,0.1054,0.11905,0.1224,0.10055,0.10335,0.1088,0.10085,0.14285
8,0.02025,0.0229,0.041,0.0224,0.0379,0.0329,0.0237,0.0284,0.0243,0.0331,0.05175,0.0472,0.0319,0.0264,0.05205,0.0299,0.03715,0.047,0.02695,0.0385,0.04445,0.0319,0.04015,0.05595,0.0195,0.02225,0.02205,0.02015,0.0336,0.04345,0.03515,0.0369,0.02085,0.03895,0.0242,0.03755,0.0535,0.0401,0.0384,0.03835,0.04135,0.0433,0.02845,0.03675,0.0322,0.03825,0.03335,0.0433,0.02965,0.023,0.02455,0.02435,0.033,0.0433,0.03375,0.0425,0.0378,0.0321,0.0368,0.0378,0.0238,0.02405,0.03555,0.04095,0.03245,0.0262,0.04925,0.02835,0.03575,0.03185,0.0261,0.0538,0.0076,0.02835,0.0374,0.0212,0.03,0.0224,0.01855,0.0091,0.03365,0.0313,0.043,0.0356,0.02805,0.01595,0.0301,0.0341,0.04305,0.046,0.03955,0.0377,0.04005,0.0368,0.03515,0.0399
9,-0.06165,-0.0346,-0.04025,-0.0459,-0.0474,-0.056,-0.0425,-0.03965,-0.03785,-0.04865,-0.04145,-0.05725,-0.0353,-0.04975,-0.0458,-0.05175,-0.06395,-0.03715,-0.0584,-0.04915,-0.0486,-0.0551,-0.0501,-0.0282,-0.03105,-0.05165,-0.0414,-0.05155,-0.03825,-0.0418,-0.0541,-0.0581,-0.0477,-0.05125,-0.0592,-0.07015,-0.04815,-0.05625,-0.0361,-0.05945,-0.0579,-0.0481,-0.023,-0.05735,-0.06225,-0.05085,-0.07465,-0.058,-0.059,-0.04705,-0.05015,-0.06715,-0.057,-0.03965,-0.0485,-0.04675,-0.0637,-0.02495,-0.0275,-0.0543,-0.0491,-0.05445,-0.0411,-0.0402,-0.0311,-0.0475,-0.0598,-0.0406,-0.04095,-0.05335,-0.04365,-0.06405,-0.0387,-0.0422,-0.0294,-0.0396,-0.06245,-0.0483,-0.03405,-0.03995,-0.0257,-0.0423,-0.05655,-0.0605,-0.0348,-0.0548,-0.05195,-0.0471,-0.0436,-0.0431,-0.03985,-0.07,-0.0429,-0.0507,-0.05455,-0.0386
10,-0.13095,-0.13485,-0.15245,-0.1744,-0.15535,-0.16085,-0.14955,-0.1448,-0.13855,-0.168,-0.161,-0.1795,-0.15195,-0.1528,-0.15075,-0.1716,-0.1607,-0.1663,-0.14065,-0.16085,-0.16855,-0.1582,-0.16335,-0.17565,-0.1274,-0.1207,-0.1562,-0.15205,-0.14805,-0.1557,-0.1337,-0.146,-0.15315,-0.1837,-0.1659,-0.15285,-0.1503,-0.1447,-0.14425,-0.1602,-0.1677,-0.16065,-0.1577,-0.1547,-0.15915,-0.17235,-0.1678,-0.173,-0.13925,-0.14345,-0.1558,-0.17485,-0.14745,-0.16665,-0.13535,-0.13995,-0.1634,-0.1595,-0.17285,-0.17115,-0.1556,-0.1485,-0.1531,-0.16345,-0.1674,-0.1866,-0.14795,-0.1521,-0.15945,-0.1744,-0.1727,-0.1688,-0.13685,-0.1338,-0.14955,-0.1627,-0.1604,-0.15585,-0.15245,-0.14835,-0.1562,-0.155,-0.16635,-0.16875,-0.16715,-0.16785,-0.14785,-0.17415,-0.16905,-0.1565,-0.1629,-0.16015,-0.1937,-0.18835,-0.1853,-0.17
A,-0.2582,-0.29395,-0.29165,-0.31365,-0.3048,-0.3249,-0.285,-0.2766,-0.2956,-0.3115,-0.32285,-0.3342,-0.2732,-0.2835,-0.29625,-0.2956,-0.3253,-0.3255,-0.2903,-0.3022,-0.30205,-0.3241,-0.32735,-0.32315,-0.2699,-0.2887,-0.28735,-0.3147,-0.31925,-0.32055,-0.25935,-0.28835,-0.3009,-0.3014,-0.32655,-0.3248,-0.286,-0.28445,-0.29295,-0.32285,-0.3128,-0.34545,-0.27195,-0.3035,-0.30685,-0.32195,-0.3519,-0.329,-0.26645,-0.2777,-0.28175,-0.30895,-0.31985,-0.3248,-0.27225,-0.30305,-0.3145,-0.3143,-0.30545,-0.33415,-0.2932,-0.30715,-0.3172,-0.31675,-0.3264,-0.32405,-0.28425,-0.30855,-0.31905,-0.32475,-0.33235,-0.3359,-0.28475,-0.28475,-0.2983,-0.31175,-0.3148,-0.3393,-0.2845,-0.2896,-0.3099,-0.3229,-0.3196,-0.3593,-0.2853,-0.30355,-0.3098,-0.3147,-0.3203,-0.3346,-0.3095,-0.31835,-0.32705,-0.33965,-0.3467,-0.346
