Dealer's Card,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 0, 3)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 1, 3)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(0, 2, 3)","(0, 3, 0)","(0, 3, 1)","(0, 3, 2)","(0, 3, 3)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 0, 3)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 1, 3)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(1, 2, 3)","(1, 3, 0)","(1, 3, 1)","(1, 3, 2)","(1, 3, 3)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 0, 3)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 1, 3)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)","(2, 2, 3)","(2, 3, 0)","(2, 3, 1)","(2, 3, 2)","(2, 3, 3)","(3, 0, 0)","(3, 0, 1)","(3, 0, 2)","(3, 0, 3)","(3, 1, 0)","(3, 1, 1)","(3, 1, 2)","(3, 1, 3)","(3, 2, 0)","(3, 2, 1)","(3, 2, 2)","(3, 2, 3)","(3, 3, 0)","(3, 3, 1)","(3, 3, 2)","(3, 3, 3)"
2,0.0917,0.07765,0.1192,0.1019,0.08645,0.09535,0.11805,0.10625,0.0823,0.1132,0.1166,0.1422,0.0822,0.1106,0.13085,0.1661,0.091,0.08465,0.1183,0.1267,0.06795,0.0999,0.1028,0.13205,0.079,0.11675,0.12945,0.15715,0.09685,0.121,0.1404,0.1477,0.0713,0.08325,0.1093,0.1293,0.08925,0.0903,0.1296,0.1522,0.1035,0.12965,0.13765,0.15215,0.0906,0.12315,0.16335,0.1848,0.1021,0.11195,0.12665,0.1409,0.09585,0.08985,0.15075,0.145,0.10205,0.13145,0.1384,0.17095,0.12075,0.1318,0.1469,0.17645
3,0.10165,0.11045,0.1414,0.15895,0.12615,0.13545,0.1621,0.17205,0.14705,0.1577,0.15975,0.18855,0.134,0.15445,0.18795,0.21345,0.1167,0.10935,0.1528,0.1779,0.11295,0.1333,0.1572,0.1791,0.13245,0.1713,0.1585,0.21165,0.1462,0.17095,0.19445,0.221,0.10215,0.12905,0.1502,0.1908,0.1318,0.1424,0.17505,0.18965,0.1175,0.1674,0.174,0.2183,0.1492,0.1755,0.2095,0.2204,0.09945,0.1479,0.1414,0.1732,0.1286,0.13455,0.16885,0.21005,0.1433,0.154,0.18455,0.23765,0.1489,0.18045,0.1889,0.24775
4,0.12205,0.15135,0.18615,0.19835,0.14315,0.16505,0.1984,0.23855,0.1691,0.19415,0.2126,0.2636,0.18295,0.2335,0.25235,0.2774,0.14155,0.1676,0.19095,0.2203,0.14095,0.1777,0.2292,0.2257,0.1721,0.21725,0.23885,0.2651,0.19275,0.23215,0.27125,0.29605,0.1319,0.18115,0.20635,0.2275,0.1642,0.2016,0.2033,0.2562,0.17265,0.2079,0.2444,0.28225,0.20145,0.2294,0.2664,0.2929,0.14215,0.18885,0.20295,0.2516,0.1594,0.1907,0.217,0.2797,0.18215,0.20955,0.25475,0.30345,0.18115,0.2344,0.2762,0.3146
5,0.1513,0.18145,0.21255,0.2351,0.1871,0.2105,0.2509,0.2691,0.21155,0.22885,0.2749,0.2861,0.2216,0.2692,0.2992,0.34255,0.1915,0.2068,0.23065,0.26845,0.1982,0.2191,0.2609,0.288,0.2021,0.2478,0.2947,0.30505,0.2441,0.2818,0.3086,0.34955,0.19565,0.22205,0.25285,0.28875,0.19655,0.24065,0.2774,0.31525,0.24685,0.2608,0.3051,0.3302,0.259,0.29775,0.3402,0.37565,0.21665,0.23535,0.25575,0.3013,0.22025,0.25395,0.2897,0.33435,0.2499,0.29695,0.323,0.36245,0.27565,0.31655,0.3519,0.38325
6,0.194,0.1953,0.21285,0.20095,0.19575,0.21995,0.21405,0.2382,0.23665,0.26375,0.25465,0.26715,0.2466,0.2666,0.30035,0.28785,0.1927,0.2186,0.2191,0.23125,0.2347,0.22215,0.24755,0.2624,0.2397,0.26505,0.2804,0.28845,0.3001,0.30035,0.30135,0.3312,0.2012,0.2219,0.2312,0.2411,0.2362,0.24775,0.2506,0.2581,0.2729,0.29155,0.29275,0.3197,0.3265,0.33035,0.33275,0.345,0.21555,0.24315,0.24805,0.2678,0.25935,0.24785,0.30235,0.28065,0.2951,0.31335,0.32115,0.32725,0.32285,0.3355,0.353,0.34765
7,0.13235,0.10985,0.1302,0.1302,0.1385,0.14685,0.13745,0.15205,0.14955,0.1622,0.1571,0.1514,0.16945,0.1715,0.16955,0.1921,0.1208,0.142,0.149,0.13505,0.1415,0.1542,0.15475,0.16765,0.16825,0.14065,0.17195,0.16745,0.17325,0.18795,0.1949,0.1928,0.12825,0.1455,0.1523,0.1682,0.16685,0.15385,0.1619,0.17335,0.15335,0.1646,0.18085,0.18495,0.1828,0.18835,0.20365,0.2238,0.14825,0.14355,0.1523,0.16995,0.1422,0.16995,0.16935,0.1868,0.15795,0.17595,0.19775,0.2212,0.1744,0.20015,0.20795,0.2294
8,0.04785,0.0523,0.05725,0.04575,0.0454,0.04025,0.08595,0.06985,0.04555,0.0604,0.0394,0.0728,0.03695,0.0673,0.05855,0.05595,0.0392,0.05465,0.0645,0.0586,0.0646,0.0567,0.0629,0.0618,0.06545,0.05565,0.08585,0.0895,0.04855,0.07805,0.0915,0.10225,0.06215,0.0585,0.07065,0.07415,0.05105,0.08265,0.0997,0.0851,0.0743,0.0735,0.0703,0.09175,0.06955,0.08945,0.0933,0.08855,0.08265,0.0886,0.0747,0.0946,0.07865,0.06295,0.0871,0.1007,0.07185,0.09505,0.09095,0.09615,0.0691,0.08945,0.1134,0.1113
9,-0.0671,-0.0553,-0.03565,-0.0491,-0.0596,-0.05845,-0.0418,-0.041,-0.06215,-0.0295,-0.04435,-0.0466,-0.03995,-0.0545,-0.02605,-0.0165,-0.0335,-0.03325,-0.05715,-0.04185,-0.0386,-0.0325,-0.0445,-0.0232,-0.04925,-0.0366,-0.03605,-0.0065,-0.02775,-0.01905,-0.04195,-0.0064,-0.0427,-0.0328,-0.03005,-0.03355,-0.02205,-0.0228,-0.0258,-0.0253,-0.033,-0.0319,-0.0111,-0.0171,-0.0079,-0.02365,0.00075,-0.0192,-0.02955,-0.0011,-0.0222,-0.01515,-0.01465,-0.0171,-0.03425,-0.02685,-0.0026,0.00775,0.0088,-0.0164,-0.00775,-0.0024,0.01025,0.01715
10,-0.17025,-0.1959,-0.19075,-0.1823,-0.17265,-0.18335,-0.1821,-0.19395,-0.1796,-0.19215,-0.1843,-0.17055,-0.1751,-0.19,-0.1771,-0.17865,-0.16985,-0.17295,-0.1659,-0.1825,-0.17965,-0.1832,-0.1799,-0.18985,-0.18005,-0.1822,-0.19035,-0.1883,-0.19605,-0.1684,-0.1841,-0.1714,-0.18945,-0.1852,-0.1786,-0.17675,-0.1688,-0.17335,-0.18855,-0.18175,-0.1873,-0.16195,-0.1792,-0.1866,-0.1669,-0.17165,-0.1844,-0.178,-0.1922,-0.16675,-0.17215,-0.1754,-0.17505,-0.1654,-0.18635,-0.1772,-0.1753,-0.19595,-0.1892,-0.1759,-0.17915,-0.1748,-0.18425,-0.1907
A,-0.35705,-0.3425,-0.3588,-0.35375,-0.3485,-0.34755,-0.35935,-0.3558,-0.3502,-0.35205,-0.3774,-0.38155,-0.3537,-0.34905,-0.35095,-0.3747,-0.3382,-0.367,-0.3643,-0.36545,-0.35125,-0.35155,-0.3564,-0.36475,-0.34355,-0.37955,-0.3592,-0.3753,-0.3443,-0.35705,-0.3615,-0.36945,-0.3373,-0.36115,-0.35595,-0.36995,-0.3556,-0.3646,-0.3606,-0.36425,-0.3642,-0.35645,-0.3651,-0.36985,-0.36705,-0.37245,-0.35065,-0.36935,-0.34735,-0.3637,-0.37655,-0.3704,-0.3421,-0.3507,-0.37295,-0.3644,-0.3672,-0.35595,-0.3664,-0.3605,-0.3559,-0.3642,-0.38065,-0.3786
